Jogador,Time,Tipo,Linha,Odds,Conf,Season Avg,Last5 Avg,Matchup,Status
Adem Bona,Philadelphia 76ers,REBOUNDS,3.7,1.34,🟡 6.0,4.4,4.4,0.83x,✅ Ativo
Adem Bona,Philadelphia 76ers,ASSISTS,0.3,1.1,🟡 6.0,0.4,0.4,0.83x,✅ Ativo
Andre Drummond,Philadelphia 76ers,POINTS,6.4,1.34,🟢 8.0,6.4,6.4,1.00x,✅ Ativo
Andre Drummond,Philadelphia 76ers,REBOUNDS,7,1.56,🟡 7.0,8.4,8.4,0.83x,✅ Ativo
Andre Drummond,Philadelphia 76ers,ASSISTS,1,1.15,🟡 6.0,1.2,1.2,0.83x,✅ Ativo
Cameron Payne,Philadelphia 76ers,POINTS,8.3,1.34,🟡 7.0,7.7,7.7,1.08x,✅ Ativo
Cameron Payne,Philadelphia 76ers,REBOUNDS,2,1.24,🟡 5.0,2,2,1.00x,✅ Ativo
Cameron Payne,Philadelphia 76ers,ASSISTS,2.2,1.23,🔴 4.0,2.7,2.7,0.83x,✅ Ativo
Dalen Terry,Philadelphia 76ers,POINTS,4.6,1.24,🔴 4.0,4.3,5,1.00x,✅ Ativo
Dalen Terry,Philadelphia 76ers,REBOUNDS,1.2,1.16,🔴 4.0,1.5,1.4,0.83x,✅ Ativo
Dalen Terry,Philadelphia 76ers,ASSISTS,1.5,1.19,🔴 4.0,1.8,1.8,0.83x,✅ Ativo
Dominick Barlow,Philadelphia 76ers,POINTS,7.9,1.39,🟢 8.0,7.9,7.9,1.00x,✅ Ativo
Dominick Barlow,Philadelphia 76ers,REBOUNDS,3.9,1.35,🟡 6.0,4.7,4.7,0.83x,✅ Ativo
Dominick Barlow,Philadelphia 76ers,ASSISTS,1.1,1.16,🟡 6.0,1.3,1.3,0.83x,✅ Ativo
Hunter Sallis,Philadelphia 76ers,POINTS,1.1,1.14,🟡 5.0,1,1,1.08x,✅ Ativo
Hunter Sallis,Philadelphia 76ers,REBOUNDS,0.1,1.11,🔴 4.0,0.1,0.1,1.00x,✅ Ativo
Hunter Sallis,Philadelphia 76ers,ASSISTS,0.5,1.22,🔴 3.0,0.6,0.6,0.83x,✅ Ativo
Jabari Walker,Philadelphia 76ers,POINTS,4.4,1.23,🟡 7.0,4.4,4.4,1.00x,✅ Ativo
Jabari Walker,Philadelphia 76ers,REBOUNDS,2.6,1.26,🟡 6.0,3.1,3.1,0.83x,✅ Ativo
Jabari Walker,Philadelphia 76ers,ASSISTS,0.4,1.11,🟡 6.0,0.5,0.5,0.83x,✅ Ativo
Joel Embiid,Philadelphia 76ers,POINTS,28.1,1.97,🟢 9.0,26.9,30,1.00x,✅ Ativo
Joel Embiid,Philadelphia 76ers,REBOUNDS,5.8,1.53,🟢 8.0,7.4,6.3,0.83x,✅ Ativo
Joel Embiid,Philadelphia 76ers,ASSISTS,3.2,1.3,🟡 7.0,3.9,4,0.83x,✅ Ativo
Justin Edwards,Philadelphia 76ers,POINTS,6.1,1.33,🟢 8.0,6.1,6.1,1.00x,✅ Ativo
Justin Edwards,Philadelphia 76ers,REBOUNDS,1.2,1.16,🟡 6.0,1.5,1.5,0.83x,✅ Ativo
Justin Edwards,Philadelphia 76ers,ASSISTS,1.1,1.16,🟡 6.0,1.3,1.3,0.83x,✅ Ativo
Kelly Oubre Jr.,Philadelphia 76ers,POINTS,17.1,1.67,🟢 8.0,14.4,14.4,1.08x,✅ Ativo
Kelly Oubre Jr.,Philadelphia 76ers,REBOUNDS,5.5,1.48,🟡 7.0,5,5,1.00x,✅ Ativo
Kelly Oubre Jr.,Philadelphia 76ers,ASSISTS,1.6,1.2,🟡 5.0,1.7,1.7,0.83x,✅ Ativo
Kyle Lowry,Philadelphia 76ers,POINTS,1.6,1.17,🔴 4.0,1.3,1.7,1.08x,✅ Ativo
Kyle Lowry,Philadelphia 76ers,REBOUNDS,1.1,1.33,🔴 3.0,0.7,1.7,1.00x,✅ Ativo
Kyle Lowry,Philadelphia 76ers,ASSISTS,0.7,1.24,🔴 3.0,0.8,1,0.83x,✅ Ativo
MarJon Beauchamp,Philadelphia 76ers,POINTS,7.7,1.32,🟡 6.0,7.7,7.7,1.00x,✅ Ativo
MarJon Beauchamp,Philadelphia 76ers,REBOUNDS,2.2,1.23,🔴 4.0,2.6,2.6,0.83x,✅ Ativo
MarJon Beauchamp,Philadelphia 76ers,ASSISTS,1.1,1.16,🔴 4.0,1.3,1.3,0.83x,✅ Ativo
Paul George,Philadelphia 76ers,POINTS,17.5,1.66,🟢 9.0,17.5,17.5,1.00x,✅ Ativo
Paul George,Philadelphia 76ers,REBOUNDS,4.5,1.39,🟡 7.0,5.4,5.4,0.83x,✅ Ativo
Paul George,Philadelphia 76ers,ASSISTS,3.1,1.9,🟡 7.0,3.7,3.7,0.83x,✅ Ativo
Quentin Grimes,Philadelphia 76ers,POINTS,14.8,1.59,🟢 10,13.7,13.7,1.08x,✅ Ativo
Quentin Grimes,Philadelphia 76ers,REBOUNDS,3.7,1.41,🟢 9.0,3.7,3.7,1.00x,✅ Ativo
Quentin Grimes,Philadelphia 76ers,ASSISTS,2.8,1.33,🟢 8.0,3.4,3.4,0.83x,✅ Ativo
Trendon Watford,Philadelphia 76ers,POINTS,6.7,1.35,🟢 8.0,6.7,6.7,1.00x,✅ Ativo
Trendon Watford,Philadelphia 76ers,REBOUNDS,2.8,1.27,🟡 6.0,3.4,3.4,0.83x,✅ Ativo
Trendon Watford,Philadelphia 76ers,ASSISTS,2.1,1.23,🟡 6.0,2.5,2.5,0.83x,✅ Ativo
Tyrese Martin,Philadelphia 76ers,POINTS,2.7,1.19,🟡 5.0,2.5,2.5,1.08x,✅ Ativo
Tyrese Martin,Philadelphia 76ers,REBOUNDS,1.3,1.19,🔴 4.0,1.3,1.3,1.00x,✅ Ativo
Tyrese Martin,Philadelphia 76ers,ASSISTS,0.9,1.24,🔴 3.0,1.1,1.1,0.83x,✅ Ativo
Tyrese Maxey,Philadelphia 76ers,POINTS,29.6,2.01,🟢 10,28.8,28.8,1.08x,✅ Ativo
Tyrese Maxey,Philadelphia 76ers,REBOUNDS,4,1.43,🟢 10.0,4.2,4.2,1.00x,✅ Ativo
Tyrese Maxey,Philadelphia 76ers,ASSISTS,5.4,1.51,🟢 10.0,6.8,6.8,0.83x,✅ Ativo
VJ Edgecombe,Philadelphia 76ers,POINTS,19.1,1.72,🟢 9.0,16.1,16.1,1.08x,✅ Ativo
VJ Edgecombe,Philadelphia 76ers,REBOUNDS,6.2,1.59,🟢 8.0,5.6,5.6,1.00x,✅ Ativo
VJ Edgecombe,Philadelphia 76ers,ASSISTS,3.7,1.34,🟡 6.0,4.1,4.1,0.83x,✅ Ativo
Christian Koloko,Atlanta Hawks,POINTS,2.1,1.23,🔴 3.0,2.9,1,1.00x,✅ Ativo
Christian Koloko,Atlanta Hawks,REBOUNDS,1.3,1.24,🔴 2.0,2.3,0.5,0.83x,✅ Ativo
Christian Koloko,Atlanta Hawks,ASSISTS,0.6,1.24,🔴 2.0,0.6,0.8,0.83x,✅ Ativo
Jonathan Kuminga,Atlanta Hawks,POINTS,11.7,1.49,🟢 8.0,11.7,11.7,1.00x,✅ Ativo
Jonathan Kuminga,Atlanta Hawks,REBOUNDS,4.6,1.39,🟡 6.0,5.6,5.6,0.83x,✅ Ativo
Jonathan Kuminga,Atlanta Hawks,ASSISTS,1.8,1.2,🟡 6.0,2.2,2.2,0.83x,✅ Ativo
Jacob Toppin,Atlanta Hawks,POINTS,1.6,1.15,🔴 4.0,1.6,1.6,1.00x,✅ Ativo
Jacob Toppin,Atlanta Hawks,REBOUNDS,0.2,1.21,🔴 3.0,0.2,0.2,0.83x,✅ Ativo
Jacob Toppin,Atlanta Hawks,ASSISTS,0.2,1.21,🔴 3.0,0.2,0.2,0.83x,✅ Ativo
Jalen Johnson,Atlanta Hawks,POINTS,22.8,1.81,🟢 10.0,22.8,22.8,1.00x,✅ Ativo
Jalen Johnson,Atlanta Hawks,REBOUNDS,8.5,1.72,🟢 9.0,10.3,10.3,0.83x,✅ Ativo
Jalen Johnson,Atlanta Hawks,ASSISTS,6.7,1.6,🟢 9.0,8.1,8.1,0.83x,✅ Ativo
CJ McCollum,Atlanta Hawks,POINTS,18.5,1.69,🟢 9.0,18.5,18.5,1.00x,✅ Ativo
CJ McCollum,Atlanta Hawks,REBOUNDS,2.6,1.26,🟡 7.0,3.1,3.1,0.83x,✅ Ativo
CJ McCollum,Atlanta Hawks,ASSISTS,3.2,2.08,🟡 7.0,3.9,3.9,0.83x,✅ Ativo
Mouhamed Gueye,Atlanta Hawks,POINTS,4.5,1.23,🟡 7.0,4.5,4.5,1.00x,✅ Ativo
Mouhamed Gueye,Atlanta Hawks,REBOUNDS,3,1.29,🟡 6.0,3.6,3.6,0.83x,✅ Ativo
Mouhamed Gueye,Atlanta Hawks,ASSISTS,0.7,1.13,🟡 6.0,0.9,0.9,0.83x,✅ Ativo
Keaton Wallace,Atlanta Hawks,POINTS,3.5,1.2,🟡 7.0,3.5,3.5,1.00x,✅ Ativo
Keaton Wallace,Atlanta Hawks,REBOUNDS,0.8,1.13,🟡 6.0,1,1,0.83x,✅ Ativo
